jour,type,duree,zone_fc,fitness,fatigue,performance
1,endurance,60,3,0.06766764161830635,0.06766764161830635,0.0
2,endurance,45,2,0.08485065186774346,0.08197370203249078,0.0014384749176263381
3,interval,45,4,0.2094444361745646,0.20314552874297892,0.003149453715792838
4,cross_velo,45,3,0.23867526990251842,0.22387788192615124,0.007398693988183588
5,interval,45,4,0.35988843096378165,0.33589788023868156,0.011995275362550045
6,fartlek,45,3,0.39427139303661507,0.3565270892320419,0.018872151902286582
7,interval,45,4,0.5120649982588585,0.4599921402322494,0.02603642901330458
8,force,45,1,0.5042454627875884,0.43376004253855044,0.03524271012451899
9,cross_natation,45,3,0.522768189160853,0.4353901428304346,0.0436890231652092
10,force,30,1,0.5135687008677622,0.40959997469287707,0.05198436308744256
11,fartlek,30,3,0.5304767867151676,0.4113784880682547,0.05954914932345645
12,cross_velo,45,3,0.5526522515387222,0.41868126988875154,0.06698549082498534
13,cross_natation,45,2,0.5513974637404533,0.4025701736883053,0.074413645026074
14,cotes,30,4,0.623585036636617,0.4609129147192567,0.08133606095868015
15,cross_natation,45,3,0.639485021977768,0.46079184441915605,0.08934658877930599
16,cross_velo,60,3,0.6705427391844455,0.4761857501785938,0.09717849450292584
17,interval,45,5,0.9995561359008637,0.7892250954645954,0.10516552021813413
18,force,45,2,0.9869238385623449,0.7476606648883488,0.11963158683699804
19,force,45,1,0.9686682698059104,0.7028759567280716,0.1328961565389194
20,cross_velo,30,2,0.9556775684482418,0.6658432118578694,0.1449171782951862
21,endurance,60,3,1.0023421622811541,0.6905686172472305,0.1558867725169618
22,cross_velo,30,3,1.0028694413060755,0.6685876456178453,0.16714089784411507
23,interval,45,4,1.1072878096158778,0.7519269704840215,0.17768041956592817
24,cross_natation,30,2,1.0902134183646826,0.7106935472584454,0.1897599355531186
25,endurance,45,3,1.1170043902640123,0.7156095088909036,0.20069744068655437
26,seuil,45,4,1.2074181677099947,0.7844200194885617,0.2114990741107165
27,endurance,60,2,1.205776118857754,0.758723941614119,0.2235260886218175
28,cotes,45,4,1.305735181241277,0.836250104993413,0.23474253812393198
29,interval,30,5,1.5062055393284608,1.0114844811214283,0.24736052910351625
30,cross_velo,30,2,1.4814013128542154,0.954548642068155,0.2634263353930302
31,cross_velo,45,2,1.461291134392104,0.9054336892991706,0.2779287225464667
32,cross_natation,30,3,1.448912548266452,0.8667759362943276,0.2910683059860622
33,force,45,1,1.4205037947261754,0.8143091251523016,0.3030973347869369
34,cross_velo,60,3,1.4343969627722404,0.8069036356338349,0.3137466635692027
35,cotes,30,4,1.4871787430821486,0.8391696926513155,0.32400452521541656
36,repos,0,1,1.4544948262072406,0.7850491091021414,0.3347228585525496
37,endurance,60,3,1.4901968495595017,0.8020865667762083,0.3440551413916467
38,cross_natation,30,3,1.477182998845692,0.770093981291178,0.35354450877725696
39,cross_velo,60,3,1.4898305207953508,0.765540059707576,0.3621452305438874
40,endurance,60,2,1.4819818596474295,0.741061607361891,0.37046012614276924
41,interval,45,5,1.793162155342449,1.037018310025807,0.378071922658321
42,interval,45,4,1.8802121599013828,1.0965964305375095,0.3918078646819366
43,cross_natation,30,2,1.8461511116442055,1.0331342346655596,0.40650843848932294
44,endurance,45,2,1.8242481638888532,0.9851744436428745,0.41953686012298935
45,cross_velo,60,2,1.8007521188272892,0.9382332629585017,0.43125942793439376
46,fartlek,45,4,1.8761390852542716,0.9926860964527607,0.44172649440075545
47,cross_natation,45,2,1.8457978585464838,0.9395556983807981,0.45312108008284285
48,interval,30,4,1.889538228910012,0.963266623929952,0.46313580249003
49,endurance,60,2,1.8729051404919665,0.9260361893182265,0.47343447558687
50,interval,45,5,2.175494065395127,1.2100633234992624,0.4827153709479324
51,endurance,45,3,2.1784336861246736,1.182773422677864,0.49783013172340485
52,fartlek,30,4,2.2071995214649203,1.1831343488689463,0.512032586297987
53,force,30,1,2.160981070990849,1.1091199024588259,0.5259305842660115
54,endurance,60,2,2.13838244861925,1.06248295017175,0.53794974922375
55,cross_natation,30,3,2.111123340341259,1.0136966168346786,0.5487133617532901
56,cross_velo,60,3,2.1098386745687137,0.9934320268306321,0.5582033238690407
57,cross_velo,45,3,2.097304301789949,0.9631964210633271,0.5670539403633108
58,interval,30,5,2.280378244377582,1.1302436465288646,0.5750672989243587
59,cotes,45,5,2.574012080917553,1.4011008261153597,0.5864556274010966
60,force,30,1,2.5197321440501406,1.3130290644255809,0.6033515398122798
61,cross_velo,30,2,2.4726535141436767,1.2366457060476383,0.6180039040480192
62,cross_velo,30,2,2.4266095372899175,1.1651885407448999,0.6307104982725088
63,fartlek,30,4,2.4499211803028627,1.1666835689897022,0.6416188056565802
64,endurance,45,2,2.4147491007586175,1.1101107787494326,0.6523191610045924
65,force,30,2,2.367903235399532,1.0447397712249662,0.6615817320872829
66,cotes,30,5,2.545030190717696,1.206528020187957,0.6692510852648695
67,cross_velo,30,2,2.497395582413729,1.1370132352501798,0.6801911735817745
68,force,30,2,2.4487333847886097,1.0699072071959244,0.6894130887963427
69,cross_natation,45,3,2.4245218521479037,1.0305102588754667,0.6970057966362185
70,fartlek,45,3,2.413530102250818,1.0063418213361812,0.7035941404573185
71,cotes,30,4,2.4447933486998523,1.0257455084578935,0.7095239201209794
72,endurance,45,3,2.441814544740405,1.0103428192408974,0.7157358627497539
73,cross_velo,45,2,2.4005972422136543,0.9576295317683627,0.7214838552226458
74,fartlek,30,4,2.4244805607524587,0.9725106662859113,0.7259849472332737
75,seuil,30,4,2.447838992554245,0.9864320715722732,0.7307034604909859
76,fartlek,45,3,2.436334798889155,0.9651063692265117,0.7356142148313216
77,fartlek,30,3,2.410986009018057,0.9310586003841995,0.7399637043169287
78,endurance,60,2,2.382892996243955,0.8959053583171123,0.7434938189634213
79,seuil,30,4,2.4071654032539995,0.9147672708769634,0.7461990661885181
80,interval,30,4,2.438568527504484,0.9400768768521648,0.7492458253261597
81,force,30,2,2.391199179566461,0.885671868307891,0.752763655629285
82,cross_natation,30,2,2.34590810441939,0.8358128333850153,0.7550476355171873
83,cotes,30,5,2.5235184495358225,1.0110754104774162,0.7562215195292031
84,interval,30,4,2.5523644680513664,1.0301738141637886,0.7610953269437889
85,cross_velo,45,3,2.53010464948038,0.9975686197560412,0.7662680148621693
86,cotes,45,5,2.8182502169714443,1.2769824118301263,0.770633902570659
87,cross_velo,30,2,2.7646110173107377,1.2029238107575824,0.7808436032765776
88,cross_velo,45,2,2.7162995755447876,1.1377903945165362,0.7892545905141257
89,cross_velo,45,2,2.6690498804949803,1.0768576286640656,0.7960961259154573
90,fartlek,30,4,2.687033381170431,1.084049383743868,0.8014919987132814
91,force,45,2,2.637315181233288,1.0234708459305837,0.8069221676513522
92,interval,30,4,2.6636602744654807,1.0417698306127352,0.8109452219263728
93,cross_velo,45,3,2.638954493765002,1.0084167741425722,0.8152688598112148
94,force,45,1,2.5843920366398296,0.9468151183250653,0.8187884591573822
95,force,45,1,2.5310287055924507,0.8891863390182738,0.8209211832870884
96,seuil,45,4,2.5903662903505844,0.9468023565123631,0.8217819669191107
97,cross_velo,60,2,2.550033169531912,0.9023359074176664,0.8238486310571228
98,fartlek,30,4,2.5706323156406614,0.9207830944781207,0.8249246105812704
99,force,45,1,2.5175713837362577,0.8648331988749476,0.826369092430655
100,interval,45,4,2.588700954309448,0.935516056337435,0.8265924489860066
101,cross_velo,60,2,2.5484044327933075,0.8917774947688576,0.8283134690122249
102,cotes,45,4,2.6188563815156827,0.9607226333529466,0.829066874081368
103,force,45,2,2.5706365161935696,0.908097809498626,0.8312693533474718
104,endurance,45,2,2.5328114603193903,0.8682019945158249,0.8323047329017828
105,seuil,30,4,2.553789090127536,0.8888505805319871,0.8324692547977746
106,interval,30,4,2.581969846914823,0.9158316320055379,0.8330691074546426
107,fartlek,30,4,2.60186711659231,0.9334084390981373,0.8342293387470863
108,repos,0,1,2.544685551192836,0.8732101146637669,0.8357377182645347
109,cross_natation,30,2,2.4960212864846567,0.824154775805194,0.8359332553397314
110,cotes,30,5,2.6703325750570985,1.0001692161795925,0.835081679438753
111,cross_velo,30,2,2.619944180274521,0.9439631326775842,0.8379905237984684
112,endurance,60,3,2.6300329745597053,0.9507517458505141,0.8396406143545956
113,fartlek,45,4,2.687194729874177,1.004397224640237,0.84139875261697
114,interval,30,4,2.7124436139054784,1.0239263246657682,0.8442586446198551
115,endurance,45,2,2.6715020453622955,0.9765603795205271,0.8474708329208842
116,seuil,30,4,2.689431654497768,0.9902206065906313,0.8496055239535683
117,repos,0,1,2.6303256720829187,0.9263582941877812,0.8519836889475687
118,cross_natation,45,3,2.6021232625885324,0.8962192480626525,0.85295200726294
119,cotes,30,5,2.7741027345025033,1.0675860333490623,0.8532583505767205
120,fartlek,45,4,2.8280982503315992,1.113696516686321,0.8572008668226391
